
******************************************************************************

       Energy levels and statistical weights for FeV   

 Data is from K Butler, Priv. Com. Feb 95   
 Date data calculated: 20-Jun-1989                             

 This data file was written by the program:
 Uhaul:/export/home1/users/dlmiller/atomic/create/mk_data_file.f
 See the comments in this routine for more information.  DLM

  Config        Statistical   Energy  Ionization
                  Weight      (cm-1)  Energy(eV)
******************************************************************************

28-Jun-1995                             !Date
182                                     !Number of energy levels
605000.0000                             !Ionization energy (cm-1)
5.0                                     !Screened nuclear charge
3800                                    !Number of transitions

3d4(4)5De[2]-3d3(2D3)4p3Do[1]        2.0350D-06   1.8790D+05     346.918     3- 142     111
3d4(4)5De[2]-3d3(2D3)4p3Do[2]        3.4780D-06   1.9370D+05     346.054     3- 144     112
3d4(4)5De[2]-3d3(2D3)4p3Do[3]        2.5850D-07   1.0320D+04     345.428     3- 146     113
3d4(4)5De[2]-3d3(2D3)4p3Po[2]        1.1520D-05   6.4600D+05     344.839     3- 148     114
3d4(4)5De[2]-3d3(2D3)4p3Po[1]        1.6650D-05   1.5580D+06     344.630     3- 149     115
3d4(4)5De[2]-3d3(2D3)4p1Fo[3]        4.0550D-07   1.6340D+04     343.862     3- 151     116
3d4(4)5De[2]-3d3(2H3)4p3Go[3]        1.7730D-07   7.2060D+03     342.353     3- 155     117
3d4(4)5De[2]-3d3(2P3)4p3So[1]        2.0210D-05   1.9450D+06     339.874     3- 156     118
3d4(4)5De[2]-3d3(2D3)4p1Do[2]        1.0940D-06   6.3660D+04     338.640     3- 157     119
3d4(4)5De[2]-3d3(2F3)4p3Do[1]        4.2330D-06   4.1110D+05     338.345     3- 158     120
3d4(4)5De[2]-3d3(2F3)4p3Fo[2]        3.0930D-07   1.8800D+04     331.263     3- 159     121
3d4(4)5De[2]-3d3(2F3)4p3Fo[3]        1.0310D-06   4.4770D+04     331.170     3- 160     122
3d4(4)5De[2]-3d3(2F3)4p3Go[3]        1.8140D-06   8.0800D+04     327.036     3- 162     123
3d4(4)5De[2]-3d3(2F3)4p3Do[3]        9.1470D-07   4.1040D+04     325.869     3- 165     124
3d4(4)5De[2]-3d3(2F3)4p1Do[2]        2.3040D-07   1.4510D+04     325.492     3- 166     125
3d4(4)5De[2]-3d3(2F3)4p3Do[2]        4.2000D-07   2.6530D+04     324.942     3- 167     126
