**************************************************************************************************************************
**************************************************************************************************************************

Collision strengths (Omega[i,k]) for OIII. The collisional excitation rate
is defined by

           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).

We also use the same definition for the ionization collision strength.
For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.

 Collision rates for the lowest 3 states are from Keith Butler (2012)
 Values in Butler which are 0. set to 1.d-4

 [Reference] O\,{\sc iii} collision strengths (Keith Butler, private communication, 2012)

**************************************************************************************************************************
**************************************************************************************************************************

1224                            !Number of transitions
10                              !Number of T values OMEGA tabulated at
1.0                             !Scaling factor for OMEGA (non-FILE values).
0.01                            !Value for OMEGA if f=0

Transition\T                                0.180     0.450     0.900     1.800     4.500     9.000    18.000    45.000    90.000   180.000

2s2_2p2_1De-2s_2p2(4Pe)3p_3Po              0.0510    0.0560    0.0620    0.0620    0.0510    0.0380    0.0270    0.0190    0.0140    0.0100
2s2_2p2_1De-2s_2p2(4Pe)3d_5Fe              0.0100    0.0120    0.0120    0.0100    0.0060    0.0040    0.0030    0.0020    0.0010    0.0010
2s2_2p2_1De-2s_2p2(4Pe)3d_5De              0.0140    0.0120    0.0090    0.0070    0.0050    0.0030    0.0020    0.0010    0.0010    0.0001
2s2_2p2_1De-2s_2p2(2De)3s_3De              0.5590    0.5190    0.4650    0.3970    0.2910    0.2160    0.1580    0.1090    0.0820    0.0580
2s2_2p2_1De-2s_2p2(4Pe)3d_5Pe              0.0080    0.0080    0.0070    0.0050    0.0030    0.0020    0.0010    0.0010    0.0001    0.0001
2s2_2p2_1De-2s_2p2(4Pe)3d_3Pe              0.0360    0.0300    0.0250    0.0200    0.0140    0.0100    0.0070    0.0060    0.0080    0.0070
2s2_2p2_1De-2s_2p2(4Pe)3d_3Fe              0.0610    0.0560    0.0510    0.0460    0.0360    0.0270    0.0200    0.0190    0.0220    0.0200
2s2_2p2_1De-2s_2p2(4Pe)3d_3De              0.0430    0.0390    0.0370    0.0340    0.0260    0.0190    0.0140    0.0120    0.0140    0.0130
2s2_2p2_1De-2s_2p2(2De)3s_1De              0.8850    0.8910    0.8770    0.8420    0.7980    0.8110    0.8860    1.0600    1.2100    1.3600
2s2_2p2_1Se-2s_2p3_5So                     0.0001    0.0001    0.0001    0.0001    0.0001    0.0010    0.0010    0.0010    0.0001    0.0001
2s2_2p2_1Se-2s_2p3_3Do                     0.0680    0.0770    0.0840    0.0850    0.0760    0.0610    0.0440    0.0250    0.0170    0.0120
2s2_2p2_1Se-2s_2p3_3Po                     0.3180    0.3050    0.3000    0.3020    0.3040    0.2960    0.2730    0.2250    0.1840    0.1370
2s2_2p2_1Se-2s_2p3_1Do                     0.0300    0.0560    0.0900    0.1050    0.0880    0.0660    0.0460    0.0280    0.0200    0.0150
2s2_2p2_1Se-2s_2p3_3So                     0.0001    0.0001    0.0001    0.0001    0.0020    0.0020    0.0020    0.0010    0.0010    0.0001
2s2_2p2_1Se-2s_2p3_1Po                     0.7660    0.7540    0.7550    0.7710    0.8120    0.8660    0.9620    1.1900    1.4400    1.7700
2s2_2p2_1Se-2s2_2p_3s_3Po                  0.3590    0.3590    0.3330    0.2890    0.2220    0.1740    0.1350    0.0890    0.0600    0.0380
2s2_2p2_1Se-2s2_2p_3s_1Po                  0.2980    0.2330    0.2100    0.1990    0.1840    0.1750    0.1840    0.2460    0.3410    0.4750
2s2_2p2_1Se-2s2_2p_3p_1Pe                  0.1080    0.1070    0.0950    0.0810    0.0600    0.0460    0.0340    0.0210    0.0130    0.0080
2s2_2p2_1Se-2s2_2p_3p_3De                  0.1060    0.1230    0.1350    0.1330    0.1080    0.0850    0.0640    0.0390    0.0250    0.0150
2s2_2p2_1Se-2p4_3Pe                        0.0190    0.0200    0.0200    0.0170    0.0120    0.0090    0.0060    0.0040    0.0030    0.0020
2s2_2p2_1Se-2s2_2p_3p_3Se                  0.1360    0.1610    0.1690    0.1620    0.1390    0.1180    0.0930    0.0590    0.0380    0.0230
2s2_2p2_1Se-2s2_2p_3p_3Pe                  0.0650    0.0640    0.0570    0.0480    0.0370    0.0320    0.0280    0.0240    0.0220    0.0200
2s2_2p2_1Se-2s2_2p_3p_1De                  0.0650    0.0580    0.0530    0.0460    0.0360    0.0310    0.0250    0.0180    0.0130    0.0130
2s2_2p2_1Se-2p4_1De                        0.1010    0.1080    0.1020    0.0880    0.0710    0.0620    0.0570    0.0580    0.0640    0.0700
2s2_2p2_1Se-2s2_2p_3p_1Se                  0.2220    0.2210    0.2190    0.2090    0.1920    0.1850    0.1890    0.2100    0.2340    0.2590
