
******************************************************************************

       Photoionization cross-sections for C II

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 2999 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  
          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

19-Jul-2001                             !Date
219                                     !Number of energy levels
2                                       !Number of photoionization routes
2.0                                     !Screened nuclear charge
2s2_1Se/2s2s1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0D0                                !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
9576                                    !Total number of data pairs

2s2_2p_2Po                              !Configuration name
 4.727D+00 2.052D+00
 5.094D+00 1.736D+00
 5.461D+00 1.483D+00
 5.885D+00 1.254D+00
 6.310D+00 1.070D+00
 6.765D+00 9.128D-01
 7.290D+00 7.689D-01
 7.816D+00 6.545D-01
 8.808D+00 4.963D-01
 9.730D+00 3.917D-01
 1.086D+01 3.020D-01
 1.182D+01 2.458D-01
 1.273D+01 2.049D-01
 1.365D+01 1.726D-01
 1.456D+01 1.470D-01
 1.554D+01 1.250D-01
 1.691D+01 1.009D-01
 1.868D+01 7.819D-02
 2.013D+01 6.432D-02
 2.257D+01 4.682D-02
 2.384D+01 3.974D-02
 2.444D+01 3.773D-02
2s2_3s_2Se                              !Configuration name
20                                      !Type of cross-section
145                                     !Number of cross-section points
 1.000D+00 2.017D+00
 1.041D+00 2.121D+00
 1.051D+00 2.301D+00
 1.056D+00 2.644D+00
 1.062D+00 3.337D+00
 1.072D+00 5.413D+00
 1.078D+00 5.887D+00
 1.083D+00 5.483D+00
 1.094D+00 3.336D+00
 1.099D+00 2.568D+00
 1.105D+00 2.205D+00
 1.110D+00 2.106D+00
 1.121D+00 2.188D+00
 1.155D+00 2.627D+00
 1.167D+00 2.698D+00
 1.173D+00 2.636D+00
 1.190D+00 2.067D+00
 1.196D+00 2.060D+00
 1.202D+00 2.280D+00
 1.208D+00 2.685D+00
 1.220D+00 3.774D+00
 1.226D+00 4.429D+00
 1.233D+00 5.250D+00
 1.239D+00 6.477D+00
 1.245D+00 8.737D+00
 1.251D+00 1.383D+01
 1.257D+00 2.565D+01
 1.264D+00 5.038D+01
 1.270D+00 9.138D+01
 1.276D+00 1.419D+02
 1.283D+00 1.808D+02
 1.289D+00 1.864D+02
 1.295D+00 1.550D+02
 1.302D+00 1.041D+02
 1.308D+00 5.729D+01
 1.315D+00 2.636D+01
 1.322D+00 1.080D+01
 1.328D+00 4.330D+00
 1.335D+00 1.905D+00
 1.341D+00 9.261D-01
 1.348D+00 4.921D-01
 1.355D+00 3.324D-01
 1.362D+00 3.514D-01
 1.375D+00 5.750D-01
 1.382D+00 6.008D-01
 1.389D+00 5.279D-01
 1.396D+00 4.060D-01
 1.403D+00 2.985D-01
 1.410D+00 2.350D-01
 1.417D+00 2.131D-01
 1.424D+00 2.161D-01
 1.453D+00 2.561D-01
 1.460D+00 2.903D-01
 1.475D+00 4.001D-01
 1.489D+00 4.856D-01
 1.504D+00 5.445D-01
 1.512D+00 5.433D-01
 1.527D+00 5.035D-01
 1.550D+00 4.846D-01
 1.565D+00 4.301D-01
 1.573D+00 4.171D-01
 1.581D+00 4.440D-01
 1.589D+00 5.296D-01
 1.597D+00 6.740D-01
 1.613D+00 1.015D+00
 1.629D+00 1.220D+00
 1.637D+00 1.358D+00
 1.645D+00 1.673D+00
 1.653D+00 2.267D+00
 1.662D+00 3.059D+00
 1.670D+00 3.753D+00
 1.678D+00 3.997D+00
 1.687D+00 3.700D+00
 1.704D+00 2.471D+00
 1.712D+00 2.032D+00
 1.721D+00 1.772D+00
 1.729D+00 1.628D+00
 1.755D+00 1.399D+00
