**********************************************************************
**********************************************************************

 Photoionization cross-sections for FeIV
 Smoothe Opacity project (3000km/s) and crude hydrogenic when 
 unavailable.

**********************************************************************
**********************************************************************

04-Nov-2000 00:04:27                   !Date
383                                    !Number of energy levels
1                                      !Number of photoionization routes
4.0                                    !Screened nuclear charge
3d4_5De                                !Final state in ion
0.0                                    !Excitation energy of final state
25.0                                   !Statistical weight of ion
Megabarns                              !Cross-section unit
False                                  !Split J levels
14741                                  !Total number of data pairs


3d4(5D)4s_6De                          !Configuration name
20                                     !Type of cross-section
21                                     !Number of cross-section points
 1.220D+00 1.764D-01
 1.589D+00 1.341D-01
 2.018D+00 1.002D-01
 2.512D+00 7.453D-02
 3.050D+00 5.698D-02
 3.760D+00 4.248D-02
 4.498D+00 3.259D-02
 5.407D+00 2.483D-02
 6.566D+00 1.889D-02
 7.586D+00 1.530D-02
 8.297D+00 1.183D-02
 8.940D+00 9.459D-03
 9.586D+00 7.675D-03
 1.023D+01 6.320D-03
 1.080D+01 5.363D-03
 1.141D+01 4.550D-03
 1.254D+01 3.426D-03
 1.358D+01 2.698D-03
 1.442D+01 2.255D-03
 1.601D+01 1.648D-03
 1.691D+01 1.399D-03
 1.742D+01 1.320D-03

3d4(1I)4s_2Ie                          !Configuration name
20                                     !Type of cross-section
40                                     !Number of cross-section points
 1.000D+00 1.799D-03
 1.005D+00 5.198D-03
 1.010D+00 1.300D-02
 1.015D+00 2.752D-02
 1.020D+00 4.759D-02
 1.025D+00 6.633D-02
 1.030D+00 7.447D-02
 1.035D+00 7.009D-02
 1.041D+00 6.089D-02
 1.046D+00 5.547D-02
 1.051D+00 5.510D-02
 1.067D+00 5.779D-02
 1.072D+00 6.370D-02
 1.078D+00 7.389D-02
 1.088D+00 1.021D-01
 1.094D+00 1.215D-01
 1.110D+00 2.023D-01
 1.116D+00 2.136D-01
 1.144D+00 1.893D-01
 1.264D+00 1.723D-01
 1.746D+00 1.205D-01
 2.121D+00 9.402D-02
 2.653D+00 6.953D-02
 3.303D+00 5.123D-02
 4.112D+00 3.743D-02
 5.018D+00 2.789D-02
 6.124D+00 2.097D-02
 7.586D+00 1.546D-02
 8.338D+00 1.180D-02
 9.030D+00 9.288D-03
 9.682D+00 7.536D-03
 1.033D+01 6.206D-03
 1.097D+01 5.188D-03
 1.158D+01 4.402D-03
 1.273D+01 3.314D-03
 1.379D+01 2.609D-03
 1.471D+01 2.149D-03
 1.625D+01 1.594D-03
 1.725D+01 1.333D-03
 1.777D+01 1.250D-03

3d4(1S2)4s_2Se                         !Configuration name
20                                     !Type of cross-section
40                                     !Number of cross-section points
 1.000D+00 4.755D-04
 1.005D+00 1.290D-03
 1.010D+00 3.048D-03
 1.015D+00 6.163D-03
 1.030D+00 1.923D-02
 1.035D+00 2.591D-02
 1.041D+00 3.818D-02
 1.046D+00 5.569D-02
 1.051D+00 7.166D-02
 1.056D+00 7.891D-02
 1.062D+00 7.659D-02
 1.072D+00 6.533D-02
 1.078D+00 6.502D-02
 1.083D+00 6.965D-02
 1.099D+00 9.536D-02
 1.105D+00 1.079D-01
 1.121D+00 1.670D-01
 1.133D+00 1.871D-01
 1.144D+00 1.899D-01
 1.629D+00 1.328D-01
 2.028D+00 1.011D-01
 2.524D+00 7.552D-02
 3.065D+00 5.764D-02
 3.778D+00 4.279D-02
 4.543D+00 3.270D-02
 5.461D+00 2.491D-02
 6.632D+00 1.893D-02
 7.662D+00 1.532D-02
 8.422D+00 1.167D-02
 9.075D+00 9.329D-03
 9.730D+00 7.568D-03
 1.038D+01 6.233D-03
 1.102D+01 5.210D-03
 1.223D+01 3.807D-03
 1.331D+01 2.954D-03
 1.428D+01 2.396D-03
 1.508D+01 2.033D-03
 1.649D+01 1.554D-03
 1.716D+01 1.380D-03
 1.760D+01 1.321D-03

3d4(3D)4s_2De                          !Configuration name
20                                     !Type of cross-section
41                                     !Number of cross-section points
 1.000D+00 1.385D-03
