
******************************************************************************

       Photoionization cross-sections for Ne VIII

>> Data is from the Opacity project
>>   Smoothed with a gausian of width 2999 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

19-Jun-2001                             !Date
53                                      !Number of energy levels
1                                       !Number of photoionization routes
8.0                                     !Screened nuclear charge
1s2_1Se                                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
918                                     !Total number of data pairs

2s_2Se                                  !Configuration name
 3.713D+01 5.919D-04
 3.864D+01 5.512D-04
8p_2Po                                  !Configuration name
20                                      !Type of cross-section
42                                      !Number of cross-section points
 1.000D+00 1.649D+00
 1.105D+00 1.352D+00
 1.202D+00 1.126D+00
 1.382D+00 8.353D-01
 1.581D+00 6.250D-01
 1.782D+00 4.824D-01
 2.008D+00 3.721D-01
 2.274D+00 2.829D-01
 2.537D+00 2.226D-01
 2.845D+00 1.724D-01
 3.158D+00 1.363D-01
 3.542D+00 1.055D-01
 3.932D+00 8.313D-02
 4.322D+00 6.690D-02
 4.774D+00 5.315D-02
 5.222D+00 4.308D-02
 5.712D+00 3.491D-02
 6.216D+00 2.854D-02
 6.732D+00 2.355D-02
 7.363D+00 1.900D-02
 8.013D+00 1.542D-02
 8.591D+00 1.299D-02
 9.258D+00 1.078D-02
 9.926D+00 9.058D-03
 1.059D+01 7.692D-03
 1.130D+01 6.517D-03
 1.205D+01 5.519D-03
 1.345D+01 4.146D-03
 1.486D+01 3.190D-03
 1.641D+01 2.448D-03
 1.795D+01 1.914D-03
 1.954D+01 1.520D-03
 2.095D+01 1.251D-03
 2.235D+01 1.043D-03
 2.372D+01 8.824D-04
 2.506D+01 7.549D-04
 2.782D+01 5.582D-04
 3.028D+01 4.358D-04
 3.214D+01 3.649D-04
 3.568D+01 2.669D-04
 3.769D+01 2.256D-04
 3.903D+01 2.066D-04
8d_2De                                  !Configuration name
20                                      !Type of cross-section
42                                      !Number of cross-section points
 1.000D+00 1.721D+00
 1.127D+00 1.338D+00
 1.257D+00 1.042D+00
 1.417D+00 7.933D-01
 1.589D+00 6.067D-01
 1.782D+00 4.623D-01
 1.978D+00 3.601D-01
 2.207D+00 2.757D-01
 2.450D+00 2.131D-01
 2.693D+00 1.675D-01
 2.902D+00 1.386D-01
 3.190D+00 1.083D-01
 3.489D+00 8.595D-02
 3.797D+00 6.868D-02
 4.092D+00 5.619D-02
 4.409D+00 4.582D-02
 4.751D+00 3.736D-02
 5.119D+00 3.027D-02
 5.489D+00 2.489D-02
 5.856D+00 2.069D-02
 6.247D+00 1.720D-02
 6.599D+00 1.461D-02
 7.005D+00 1.222D-02
 7.894D+00 8.566D-03
 8.338D+00 7.249D-03
 8.808D+00 6.122D-03
 9.779D+00 4.417D-03
 1.075D+01 3.268D-03
 1.182D+01 2.409D-03
 1.286D+01 1.819D-03
 1.386D+01 1.416D-03
 1.493D+01 1.100D-03
 1.585D+01 8.970D-04
 1.674D+01 7.415D-04
 1.760D+01 6.229D-04
 1.840D+01 5.315D-04
 1.993D+01 3.990D-04
 2.137D+01 3.097D-04
 2.268D+01 2.487D-04
 2.456D+01 1.845D-04
 2.582D+01 1.532D-04
 2.647D+01 1.422D-04
9s_2Se                                  !Configuration name [*]
20                                      !Type of cross-section
37                                      !Number of cross-section points
 1.000D+00 1.486D+00
 1.173D+00 1.083D+00
 1.362D+00 7.965D-01
 1.467D+00 6.823D-01
 1.678D+00 5.163D-01
 1.929D+00 3.867D-01
 2.079D+00 3.314D-01
 2.331D+00 2.616D-01
 2.640D+00 2.015D-01
 2.990D+00 1.558D-01
 3.403D+00 1.188D-01
 3.854D+00 9.198D-02
 4.344D+00 7.166D-02
 4.846D+00 5.701D-02
 5.354D+00 4.632D-02
 5.944D+00 3.716D-02
 6.599D+00 2.983D-02
 7.218D+00 2.470D-02
 7.855D+00 2.065D-02
 8.591D+00 1.711D-02
 9.350D+00 1.426D-02
 1.075D+01 1.062D-02
 1.158D+01 9.056D-03
 1.242D+01 7.798D-03
 1.428D+01 5.781D-03
 1.617D+01 4.416D-03
 1.813D+01 3.444D-03
 2.023D+01 2.719D-03
 2.212D+01 2.230D-03
 2.432D+01 1.815D-03
 2.621D+01 1.543D-03
 2.968D+01 1.170D-03
 3.345D+01 8.960D-04
 3.658D+01 7.329D-04
 3.922D+01 6.270D-04
 4.376D+01 4.900D-04
 4.858D+01 3.921D-04
9p_2Po                                  !Configuration name
20                                      !Type of cross-section
43                                      !Number of cross-section points
 1.000D+00 1.953D+00
 1.161D+00 1.435D+00
 1.348D+00 1.038D+00
 1.558D+00 7.627D-01
 1.773D+00 5.765D-01
 2.018D+00 4.355D-01
 2.297D+00 3.282D-01
 2.588D+00 2.527D-01
 2.931D+00 1.923D-01
 3.303D+00 1.474D-01
 3.722D+00 1.125D-01
 4.153D+00 8.825D-02
 4.611D+00 6.961D-02
 5.094D+00 5.543D-02
 5.627D+00 4.404D-02
