 
******************************************************************************
 
       Photoionization cross-sections for N III
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
 7-Jun-1999                             !Date
102                                     !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
2s2s1Se/2s2_1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
12820                                   !Total number of data pairs
 
2s2_2p_2Po                              !Configuration name
 1.051D+00 7.038D-01
 1.056D+00 1.446D+00
 1.062D+00 3.208D+00
 1.072D+00 1.100D+01
 1.078D+00 1.539D+01
 1.083D+00 1.731D+01
 1.088D+00 1.589D+01
 1.099D+00 7.134D+00
 1.105D+00 3.627D+00
 1.110D+00 1.582D+00
 1.116D+00 6.968D-01
 1.121D+00 3.361D-01
 1.127D+00 2.049D-01
 1.133D+00 1.402D-01
 1.144D+00 8.767D-02
 1.150D+00 7.296D-02
 1.155D+00 6.408D-02
 1.161D+00 6.990D-02
 1.167D+00 1.088D-01
 1.173D+00 2.470D-01
 1.179D+00 6.121D-01
 1.184D+00 1.445D+00
 1.196D+00 4.495D+00
 1.202D+00 5.654D+00
 1.208D+00 5.562D+00
 1.220D+00 2.809D+00
 1.226D+00 1.603D+00
 1.233D+00 1.174D+00
 1.239D+00 1.417D+00
 1.257D+00 3.737D+00
 1.264D+00 5.213D+00
 1.283D+00 1.787D+01
 1.289D+00 2.039D+01
 1.295D+00 1.886D+01
 1.308D+00 9.301D+00
 1.315D+00 5.250D+00
 1.322D+00 2.939D+00
 1.328D+00 1.843D+00
 1.335D+00 1.489D+00
 1.341D+00 1.447D+00
 1.348D+00 1.547D+00
 1.355D+00 1.742D+00
 1.362D+00 2.244D+00
 1.368D+00 3.410D+00
 1.382D+00 7.625D+00
 1.389D+00 9.283D+00
 1.396D+00 8.852D+00
 1.410D+00 4.695D+00
 1.417D+00 3.577D+00
 1.424D+00 3.848D+00
 1.438D+00 7.397D+00
 1.445D+00 8.991D+00
 1.453D+00 9.571D+00
 1.460D+00 9.072D+00
 1.475D+00 6.832D+00
 1.482D+00 5.799D+00
 1.489D+00 5.126D+00
 1.497D+00 4.833D+00
 1.504D+00 4.818D+00
 1.512D+00 4.858D+00
 1.519D+00 4.816D+00
 1.527D+00 4.717D+00
 1.534D+00 4.716D+00
 1.542D+00 4.991D+00
 1.558D+00 6.460D+00
 1.565D+00 6.976D+00
 1.573D+00 6.851D+00
 1.589D+00 5.191D+00
 1.597D+00 4.599D+00
 1.605D+00 4.464D+00
 1.621D+00 5.024D+00
 1.629D+00 5.138D+00
 1.637D+00 4.968D+00
 1.645D+00 4.629D+00
 1.653D+00 4.316D+00
 1.662D+00 4.124D+00
 1.670D+00 4.024D+00
 1.678D+00 3.982D+00
 1.687D+00 3.972D+00
 1.695D+00 3.984D+00
 1.704D+00 4.001D+00
 1.712D+00 4.009D+00
 1.721D+00 3.995D+00
 1.729D+00 3.970D+00
 1.746D+00 3.859D+00
 1.782D+00 3.661D+00
 1.791D+00 3.633D+00
 1.799D+00 3.619D+00
 1.808D+00 3.617D+00
 1.817D+00 3.621D+00
 1.827D+00 3.622D+00
 1.836D+00 3.608D+00
 1.863D+00 3.475D+00
 1.891D+00 3.350D+00
 1.920D+00 3.281D+00
 1.949D+00 3.196D+00
 1.978D+00 3.047D+00
 2.008D+00 2.911D+00
 2.069D+00 2.744D+00
 2.079D+00 2.717D+00
