09-Apr-1997 18:34:43              !Date
217                               !Number of energy levels
2                                 !Number of photoionization routes
3.0                               !Screened nuclear charge
2p_2Po/2p2Po                      !Final state in ion
64555.80                          !Excitation energy of final state
6                                 !Statistical weight of ion
3000.0                            !Sigma used for Gaussian smoothing (km/s)
Megabarns                         !Cross-section unit
False                             !Split J levels
3455                              !Total number of data pairs

 2.07649E+00   5.6642E-01
 2.08167E+00   3.9220E-01
 2.08687E+00   3.4462E-01
 2.09207E+00   3.9822E-01
 2.09730E+00   5.4942E-01
 2.10253E+00   8.4220E-01
 2.10779E+00   1.3217E+00
 2.11833E+00   2.6722E+00
 2.12361E+00   3.1049E+00
 2.12892E+00   3.0677E+00
 2.13423E+00   2.5963E+00
 2.13957E+00   2.0531E+00
 2.14490E+00   1.8733E+00
 2.15026E+00   2.2380E+00
 2.15563E+00   2.9563E+00
 2.16102E+00   3.5133E+00
 2.16640E+00   3.4481E+00
 2.17182E+00   2.7723E+00
 2.17724E+00   1.8538E+00
 2.18268E+00   1.0820E+00
 2.18812E+00   6.0544E-01
 2.19359E+00   3.5187E-01
 2.19906E+00   2.3223E-01
 2.20456E+00   1.7983E-01
 2.21006E+00   1.6660E-01
 2.21558E+00   1.7844E-01
 2.22111E+00   2.1743E-01
 2.22666E+00   3.0512E-01
 2.23221E+00   4.9819E-01
 2.23780E+00   8.7405E-01
 2.24338E+00   1.4864E+00
 2.24898E+00   2.2209E+00
 2.25459E+00   2.7590E+00
 2.26023E+00   2.8034E+00
 2.26587E+00   2.3168E+00
 2.27153E+00   1.6094E+00
 2.27719E+00   1.0237E+00
 2.28289E+00   7.0859E-01
 2.28858E+00   6.6101E-01
 2.29430E+00   7.9673E-01
 2.30577E+00   1.2729E+00
 2.31152E+00   1.3837E+00
 2.31730E+00   1.3113E+00
 2.32889E+00   9.0283E-01
 2.33470E+00   8.0653E-01
 2.34053E+00   8.0388E-01
 2.35224E+00   8.4819E-01
 2.35810E+00   9.0325E-01
 2.36400E+00   1.0189E+00
 2.36989E+00   1.1564E+00
 2.37582E+00   1.2412E+00
 2.38174E+00   1.2249E+00
 2.39365E+00   1.0128E+00
 2.39963E+00   9.2794E-01
 2.40562E+00   8.9292E-01
 2.41163E+00   8.9471E-01
 2.42369E+00   9.3769E-01
 2.42974E+00   9.4284E-01
 2.44799E+00   8.9572E-01
 2.46636E+00   9.2946E-01
 2.48489E+00   8.9446E-01
 2.50354E+00   9.0375E-01
 2.54129E+00   8.5213E-01
 2.79389E+00   6.8787E-01
 2.97362E+00   5.9359E-01
 3.22064E+00   4.9129E-01
 3.50563E+00   3.9112E-01
 3.69410E+00   3.3961E-01

2s4s1Se                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2s4p3Po                      !Configuration name
0                            !Type of cross-section
1                            !Number of cross-section points
0.0000E+00

2p3p1Pe                      !Configuration name
20                           !Type of cross-section
184                          !Number of cross-section points
 1.00000E+00   2.5758E+00
 1.14701E+00   2.0998E+00
 1.27367E+00   1.8133E+00
 1.38291E+00   1.6728E+00
 1.45727E+00   1.6655E+00
 1.50904E+00   1.7553E+00
 1.54329E+00   1.9318E+00
 1.56266E+00   2.1494E+00
 1.57439E+00   2.3774E+00
 1.58622E+00   2.7643E+00
 1.59415E+00   3.2067E+00
 1.59812E+00   3.5351E+00
 1.60212E+00   3.9833E+00
 1.60611E+00   4.6217E+00
 1.61013E+00   5.5475E+00
 1.61414E+00   6.8921E+00
 1.61818E+00   8.7094E+00
 1.62627E+00   1.3117E+01
 1.63032E+00   1.4881E+01
 1.63440E+00   1.5813E+01
 1.63848E+00   1.5703E+01
 1.64257E+00   1.4678E+01
 1.64667E+00   1.2943E+01
 1.65904E+00   6.3777E+00
 1.66318E+00   4.6346E+00
 1.66733E+00   3.3591E+00
 1.67149E+00   2.5394E+00
 1.67567E+00   2.0403E+00
 1.67985E+00   1.7565E+00
 1.68405E+00   1.5945E+00
 1.68825E+00   1.5099E+00
 1.69247E+00   1.4726E+00
 1.70093E+00   1.4993E+00
 1.70517E+00   1.5582E+00
 1.70944E+00   1.6545E+00
 1.71370E+00   1.8084E+00
 1.71798E+00   2.0555E+00
 1.72227E+00   2.4598E+00
 1.72657E+00   3.0839E+00
 1.73088E+00   3.9664E+00
 1.73953E+00   6.1646E+00
 1.74388E+00   7.0775E+00
 1.74823E+00   7.5008E+00
 1.75260E+00   7.2553E+00
 1.75697E+00   6.2843E+00
 1.76136E+00   4.8175E+00
 1.76576E+00   3.2383E+00
 1.77017E+00   1.9118E+00
 1.77459E+00   1.0419E+00
 1.77902E+00   5.7765E-01
 1.78346E+00   3.9515E-01
 1.78792E+00   3.4791E-01
 1.79238E+00   3.5651E-01
 1.81940E+00   5.1211E-01
 1.87000E+00   7.6489E-01
 1.88404E+00   8.7483E-01
 1.89346E+00   9.8998E-01
 1.89819E+00   1.0729E+00
 1.90293E+00   1.1880E+00
 1.90768E+00   1.3608E+00
 1.91244E+00   1.6518E+00
 1.91722E+00   2.1649E+00
 1.92200E+00   3.0685E+00
 1.92681E+00   4.4801E+00
 1.93644E+00   8.2279E+00
 1.94127E+00   9.4502E+00
 1.94612E+00   9.4769E+00
 1.95098E+00   8.1914E+00
 1.96073E+00   3.9915E+00
 1.96563E+00   2.3218E+00
 1.97054E+00   1.2948E+00
 1.97546E+00   7.5632E-01
 1.98039E+00   5.2175E-01
 1.98534E+00   4.2581E-01
 1.99029E+00   3.9067E-01
 1.99527E+00   3.7887E-01
 2.01024E+00   3.8210E-01
 2.04565E+00   4.2213E-01
 2.05075E+00   4.3790E-01
 2.05588E+00   4.7441E-01
 2.06100E+00   5.5315E-01
 2.06616E+00   6.8459E-01
 2.07131E+00   8.4571E-01
 2.07649E+00   9.7213E-01
 2.08167E+00   9.9612E-01
 2.08687E+00   9.1399E-01
 2.09730E+00   6.5586E-01
 2.10253E+00   5.8066E-01
