  Transition                                                  f           A          Lam(A)      i-j    Trans. #

2p5_3p_1Pe[1]             -2p5(2P*<3/2>)4s_2{3/2}o[2]    1.7333E-02  6.9319E+06    3162.526      11-  21      118
2p5_3p_1Pe[1]             -2p5(2P*<3/2>)3d_2{5/2}o[2]    7.3333E-02  2.9642E+07    3145.700      11-  22      119
2p5_3p_1Pe[1]             -2p5(2P*<3/2>)3d_2{3/2}o[1]    3.6667E-01  2.4825E+08    3137.853      11-  24      120
2p5_3p_1Pe[1]             -2p5(2P*<3/2>)4s_2{3/2}o[1]    4.6667E-02  3.1852E+07    3125.212      11-  25      121
2p5_3p_1Pe[1]             -2p5(2P*<1/2>)4s_2{1/2}o[0]    3.6667E-02  7.9056E+07    3045.597      11-  26      122
2p5_3p_1Pe[1]             -2p5(2P*<1/2>)3d_2{5/2}o[2]    1.2667E+00  5.4928E+08    3037.075      11-  27      123
2p5_3p_1Pe[1]             -2p5(2P*<1/2>)3d_2{3/2}o[2]    8.6667E-04  3.7949E+05    3022.350      11-  29      124
2p5_3p_1Pe[1]             -2p5(2P*<1/2>)3d_2{3/2}o[1]    3.6667E-02  2.6994E+07    3009.143      11-  30      125
2p5_3p_1Pe[1]             -2p5(2P*<1/2>)4s_2{1/2}o[1]    2.0667E-04  1.5266E+05    3004.151      11-  31      126
2p5_3p_1Pe[1]             -2p5(2P*<3/2>)5s_2{3/2}o[1]    9.6667E-03  1.8687E+07    1857.565      11-  32      127
2p5_3p_1Pe[1]             -2p5(2P*<1/2>)5s_2{1/2}o[1]    1.8667E-03  3.7819E+06    1814.473      11-  33      128
2p5_3p_1Pe[1]             -2p5(2P*<3/2>)6s_2{3/2}o[1]    3.3333E-03  9.0617E+06    1566.405      11-  34      129
2p5_3p_1Pe[1]             -2p5(2P*<1/2>)6s_2{1/2}o[1]    6.3333E-04  1.7935E+06    1534.728      11-  35      130
2p5_3p_3Pe[2]             -2p5(2P*<3/2>)3d_2{1/2}o[1]    7.6000E-02  7.8766E+07    3274.219      12-  17      131
2p5_3p_3Pe[2]             -2p5(2P*<3/2>)3d_2{3/2}o[2]    3.2000E-01  2.0098E+08    3257.968      12-  18      132
2p5_3p_3Pe[2]             -2p5(2P*<3/2>)3d_2{7/2}o[3]    3.0000E-02  1.3809E+07    3216.286      12-  20      133
2p5_3p_3Pe[2]             -2p5(2P*<3/2>)4s_2{3/2}o[2]    6.2000E-02  4.0756E+07    3184.544      12-  21      134
2p5_3p_3Pe[2]             -2p5(2P*<3/2>)3d_2{5/2}o[2]    7.2000E-03  4.7840E+06    3167.483      12-  22      135
