
******************************************************************************

       Photoionization cross-sections for Ar VII

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

15-Feb-2001                             !Date
153                                     !Number of energy levels
1                                       !Number of photoionization routes
7.0                                     !Screened nuclear charge
2p6_3s_2Se/3s_2Se                       !Final state in ion
0.0                                     !Excitation energy of final state
2.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
32686                                   !Total number of data pairs

3s2_1Se                                 !Configuration name
 1.283D+00 6.513D-01
 1.289D+00 7.448D-01
 1.295D+00 9.923D-01
 1.308D+00 1.733D+00
 1.315D+00 1.872D+00
 1.322D+00 1.706D+00
 1.335D+00 1.002D+00
 1.341D+00 7.781D-01
 1.348D+00 6.839D-01
 1.355D+00 6.683D-01
 1.362D+00 7.034D-01
 1.368D+00 8.047D-01
 1.382D+00 1.191D+00
 1.389D+00 1.302D+00
 1.396D+00 1.240D+00
 1.410D+00 8.392D-01
 1.417D+00 7.215D-01
 1.424D+00 7.102D-01
 1.438D+00 7.970D-01
 1.445D+00 7.900D-01
 1.460D+00 7.274D-01
 1.475D+00 7.157D-01
 1.497D+00 6.317D-01
 1.504D+00 6.276D-01
 1.527D+00 6.408D-01
 1.573D+00 5.918D-01
 1.738D+00 4.837D-01
 1.968D+00 3.774D-01
 2.229D+00 2.921D-01
 2.720D+00 1.781D-01
 2.888D+00 1.489D-01
 3.065D+00 1.244D-01
 3.254D+00 1.040D-01
 3.437D+00 8.825D-02
 3.631D+00 7.488D-02
 3.835D+00 6.354D-02
 4.258D+00 4.643D-02
 4.680D+00 3.496D-02
 5.119D+00 2.672D-02
 5.544D+00 2.104D-02
 5.973D+00 1.682D-02
 6.405D+00 1.364D-02
 6.833D+00 1.123D-02
 7.253D+00 9.392D-03
 7.662D+00 7.969D-03
 8.422D+00 6.000D-03
 9.120D+00 4.725D-03
 9.682D+00 3.950D-03
 1.070D+01 2.930D-03
 1.135D+01 2.449D-03
 1.170D+01 2.297D-03
3p_3d_1Do                               !Configuration name
20                                      !Type of cross-section
94                                      !Number of cross-section points
 1.000D+00 1.544D-03
 1.005D+00 2.790D-03
 1.010D+00 6.316D-03
 1.015D+00 1.413D-02
 1.020D+00 2.717D-02
 1.030D+00 5.907D-02
 1.035D+00 7.716D-02
 1.041D+00 1.124D-01
 1.046D+00 1.804D-01
 1.051D+00 2.700D-01
 1.056D+00 3.389D-01
 1.062D+00 3.477D-01
 1.067D+00 3.080D-01
 1.072D+00 2.838D-01
 1.078D+00 3.411D-01
 1.083D+00 4.936D-01
 1.088D+00 6.844D-01
 1.094D+00 8.097D-01
 1.099D+00 7.933D-01
 1.105D+00 6.415D-01
 1.110D+00 4.310D-01
